.03,8.00,0.21,1.57,8.53,-20.76,0
24451,-7.10,8.00,0.24,1.33,16.28,-20.15,0
24402,-6.70,7.90,0.38,1.45,-0.61,-22.46,0
24426,-7.03,8.00,0.21,1.57,8.53,-20.76,0
24451,-7.10,8.00,0.24,1.33,16.28,-20.15,0
Initialize MPU6050
* Clock Source: 1
* Accel Range:  0
* Accel Offset Registers: -1530 / -493 / 432
===== Calibration Complete =====
t_ms,ax,ay,az,gx,gy,gz,label
3557,0.04,7.16,-0.12,-12.39,-1.41,115.16,0
3582,1.19,7.23,0.03,-10.44,1.58,100.22,0
3606,1.97,7.46,0.09,-9.95,-4.88,80.10,0
3631,2.62,7.56,0.27,-10.68,-4.33,59.12,0
3655,3.35,7.41,0.29,-9.59,-17.93,36.25,0
3681,3.69,7.35,0.59,-7.02,-8.78,12.23,0
3706,3.51,7.63,0.69,-1.23,-0.68,-11.92,0
3730,3.35,7.84,0.71,2.91,-9.46,-34.54,0
3755,3.05,8.36,0.56,6.88,-18.11,-62.28,0
3779,2.65,7.90,0.57,9.32,-29.52,-89.60,0
3804,2.01,7.38,0.50,12.85,-33.54,-113.74,0
3828,2.16,6.35,0.44,14.26,-38.78,-133.62,0
3854,2.60,6.12,0.42,13.34,-47.32,-160.27,0
3879,2.33,5.84,0.74,17.61,-35.98,-200.21,0
3903,1.57,4.44,0.52,21.63,-37.99,-240.69,0
3928,1.51,2.46,0.22,25.48,-26.71,-280.88,0
3953,2.81,0.32,0.37,41.57,65.67,-337.03,0
3978,3.10,-4.33,-0.04,77.12,155.24,-420.94,0
4003,1.68,-11.88,-0.32,90.05,-41.28,-503.25,0
4027,-6.38,-18.06,-2.25,40.78,-260.43,-560.20,0
4053,-16.71,-17.91,-0.00,-36.54,-334.51,-529.29,0
4077,-20.60,-11.79,2.89,-93.12,-288.84,-408.86,0
4103,-20.60,-8.92,6.45,-101.11,-186.22,-246.30,0
4127,-20.60,-8.87,8.42,-71.23,-22.87,-102.40,0
4152,-20.60,-9.28,6.10,-49.04,105.48,-22.46,0
4178,-18.12,-9.08,6.18,-43.79,53.47,3.82,0
4202,-17.71,-7.63,6.29,-32.76,74.63,13.57,0
4227,-17.90,-6.08,5.70,-24.46,-11.77,33.75,0
4251,-17.16,-4.42,5.80,-7.33,83.04,67.41,0
4277,-16.45,-4.38,3.88,1.57,65.24,102.78,0
4302,-16.11,-4.61,2.88,2.24,109.45,132.90,0
4326,-15.53,-4.61,2.42,1.33,62.43,160.34,0
4351,-14.19,-4.35,1.83,7.61,55.00,181.74,0
4376,-12.89,-4.16,1.29,9.50,52.31,190.58,0
4401,-12.50,-3.58,0.94,10.72,25.42,194.79,0
4425,-12.04,-2.81,0.49,11.51,32.13,201.68,0
4450,-11.53,-2.11,0.00,10.11,31.46,207.84,0
4476,-11.16,-1.49,-0.22,6.88,52.25,210.64,0
4500,-10.41,-0.73,-0.50,2.00,46.09,210.89,0
4525,-9.33,0.29,-0.76,-2.51,21.40,210.89,0
4549,-8.65,1.28,-1.10,-6.11,23.78,205.28,0
4575,-7.84,2.24,-1.17,-10.01,21.03,197.23,0
4600,-6.62,3.34,-0.72,-10.93,1.82,185.46,0
4624,-6.26,4.11,-1.36,-13.00,-2.14,173.20,0
4649,-5.78,5.00,-1.39,-17.82,14.02,160.64,0
4673,-5.17,5.29,-1.49,-23.79,-5.00,148.63,0
4699,-4.71,5.72,-1.07,-29.22,-19.21,139.91,0
4723,-4.48,6.55,-0.80,-27.27,-7.75,129.73,0
4748,-3.95,7.05,-0.41,-27.33,-4.88,119.97,0
4773,-3.93,7.22,-0.77,-30.01,-12.38,109.73,0
4797,-4.11,7.22,-0.76,-34.40,-33.30,107.11,0
4823,-3.93,7.38,0.28,-34.77,-10.00,111.25,0
4847,-3.02,7.55,0.51,-31.72,4.63,111.56,0
4872,-1.89,7.82,0.92,-27.94,-1.59,106.13,0
4896,-0.92,7.71,1.15,-23.67,-16.71,99.79,0
4922,0.01,8.15,1.54,-16.11,-11.96,87.41,0
4947,0.81,8.22,1.80,-9.40,-9.21,71.44,0
4971,1.29,8.22,1.82,-3.79,-13.97,55.34,0
4996,1.53,7.99,1.69,2.37,-13.42,40.40,0
5020,1.98,7.71,1.43,7.06,6.15,26.01,0
5045,2.52,7.89,1.37,9.44,3.53,8.21,0
5070,2.53,7.93,1.20,10.90,-3.36,-11.61,0
5094,2.50,8.35,1.50,15.05,-14.21,-34.48,0
5120,2.01,8.24,0.72,17.30,-12.69,-58.20,0
5144,1.48,7.65,0.15,13.95,-17.32,-78.38,0
5169,1.47,7.31,0.08,8.10,-23.36,-94.84,0
5193,2.08,7.76,0.81,5.96,-38.36,-121.49,0
5218,1.57,7.10,0.61,6.69,-42.26,-153.13,0
5243,1.18,5.95,0.21,2.98,-41.53,-179.78,0
5268,1.19,5.12,0.44,-0.93,-54.64,-209.05,0
5293,0.58,3.95,-0.03,-7.82,-58.97,-247.28,0
5317,-0.87,2.22,-0.92,-17.02,-24.52,-289.23,0
5342,-1.88,-0.32,-1.28,-30.62,-23.05,-324.54,0
5368,-1.08,-2.64,0.01,-44.34,-58.66,-364.90,0
5392,-0.24,-7.00,2.05,-45.87,-40.74,-433.44,0
5417,-3.54,-12.47,1.73,-38.18,-23.11,-506.48,0
5441,-10.34,-17.24,1.98,-52.39,-86.22,-521.42,0
5467,-18.43,-15.81,5.27,-66.11,-202.56,-462.52,0
5491,-20.60,-11.82,7.93,-69.95,-211.89,-342.77,0
5517,-20.60,-9.49,8.51,-57.57,-100.06,-190.57,0
5542,-20.60,-9.30,8.51,-31.23,30.42,-56.43,0
5566,-20.60,-11.09,6.14,-23.79,149.32,24.49,0
5592,-18.39,-9.65,6.56,-33.79,77.98,52.72,0
5616,-17.91,-7.27,7.57,-24.65,86.28,72.53,0
5641,-17.84,-5.71,7.24,-5.87,86.09,101.92,0
5666,-18.19,-5.93,5.72,4.32,-4.03,144.24,0
